Trade_ID,Descr,Asset,FirstDate,LastDate,TradeEntry,TradeExit,USD_Notional,Num_Lots,Total PnL,My ret (%),Joachim ret (%),slippage,cum slippage,joachim ent,joachim ext
6e49c6f6d9_NQ1Ind_364,NASDAQ 100 E-MINI,NQ1 Index,09/05/2019,15/05/2019,9288,9069.75,103654080,558,-2870740,,,,,,
6e49c6f6d9_NQ1Ind_365,NASDAQ 100 E-MINI,NQ1 Index,29/05/2019,04/06/2019,8935.75,8649.25,57903660,324,-1810275,,,,,,
6e49c6f6d9_NQ1Ind_366,NASDAQ 100 E-MINI,NQ1 Index,17/06/2019,18/06/2019,9119.75,9185.5,63291065,347,458935,,,,,,
6e49c6f6d9_NQ1Ind_367,NASDAQ 100 E-MINI,NQ1 Index,18/07/2019,24/07/2019,9500.5,9559,102985420,542,596010,,,,,,
6e49c6f6d9_NQ1Ind_368,NASDAQ 100 E-MINI,NQ1 Index,01/08/2019,07/08/2019,9481.75,9127.75,105247425,555,-4230480,,,,,,
6e49c6f6d9_NQ1Ind_369,NASDAQ 100 E-MINI,NQ1 Index,19/09/2019,25/09/2019,9514.5,9334.75,77067450,405,-1475920,,,,,,
6e49c6f6d9_NQ1Ind_370,NASDAQ 100 E-MINI,NQ1 Index,21/10/2019,25/10/2019,9477.25,9525,70321195,371,352960,,,,,,
6e49c6f6d9_NQ1Ind_371,NASDAQ 100 E-MINI,NQ1 Index,01/11/2019,04/11/2019,9686.75,9761.5,88343160,456,702650,,,,,,
6e49c6f6d9_NQ1Ind_372,NASDAQ 100 E-MINI,NQ1 Index,14/11/2019,18/11/2019,9862.25,9915.25,129195475,655,698540,,,,,,
6e49c6f6d9_NQ1Ind_373,NASDAQ 100 E-MINI,NQ1 Index,21/11/2019,26/11/2019,9888.25,9970.75,162365065,821,1335240,,,,,,
6e49c6f6d9_NQ1Ind_374,NASDAQ 100 E-MINI,NQ1 Index,04/12/2019,09/12/2019,9847.75,10007.25,140035005,711,2285200,,,,,,
6e49c6f6d9_NQ1Ind_375,NASDAQ 100 E-MINI,NQ1 Index,24/01/2020,29/01/2020,10824.5,10695.75,124914730,577,-1658825,,,,,,
6e49c6f6d9_NQ1Ind_376,NASDAQ 100 E-MINI,NQ1 Index,19/02/2020,20/02/2020,11212.25,11321,66152275,295,635100,,,,,,
6e49c6f6d9_NQ1Ind_377,NASDAQ 100 E-MINI,NQ1 Index,25/02/2020,02/03/2020,10667.25,9925.5,46509210,218,-3129520,,,,,,
